index	year	authors	title	DOI
0	2010, March	Brooks, T., Kim, J., Gordon, P.	Transparent Effects of Partial Priming on Compounds	Proceedings of the 23rd annual CUNY conference on Human Sentence Processing, p. 98. New York, NY.
1	2011, March	Brooks, T., Gordon, P. Sentential Support for Morpho-Orthographic Decomposition during Visual Word Recognition	Proceedings of the 24th annual CUNY conference on Human Sentence Processing, Stanford, CA.
2	2013, April	Brooks, T., Garcia, D., Marantz, A., Pylkkänen, L.	Combinatorial Effects within Compound Words during Visual Word Recognition	Proceedings of the 20th annual Cognitive Neuroscience Society Meeting, San Francisco, CA.
3	2015, June	Gramfort, A., Engemann, D.A., Larson, E., Luessi, M., Brodbeck, C., Jas, M., Brooks, T., Strohmeier, D., Goj, R., Vliet, M., Leggitt, A., Billinger, M., Bharadwaj, H., Parkkonen, L., Hamalainen, M	Trends in MEG and EEG data processing using MNE	Poster presented at the 21th Annual Meeting of the Organization for Human Brain Mapping, Honolulu, Hawaii.
4	2016, May	A.C. Heusser, T. Brooks, L. Davachi	OpenEXP: An open-source platform for running EEG and behavioral experiments in the wild	Poster presented at 2016 Context and Episodic Memory Symposium, Philadelphia, PA.
5	2016, June	A. Gramfort, D. Engemann, E. Larson, M. Jas, T. Brooks, J. Leppäkangas, M. van Vliet, C. Brodbeck, M. Wronkiewicz, D. Strohmeier, J. Sassenhagen, J.-R. King, C. Holdgraf, R. Trachel, Y. Bekhti, F. Raimondo, L. Parkkonen, M. Hämäläinen	MEG and EEG data processing using MNE: News from the trenches	Poster presented at the 22th Annual Meeting of the Organization for Human Brain Mapping, Geneva, Switzerland.
6	2018 August	 Brooks, Teon L; Jas, Mainak; Holdgraf, Chris; Appelhoff, Stefan; Sanderson, Matt; Gramfort, Alexandre	MNE-BIDS: Making MEG BIDS compatible datasets easily	https://doi.org/10.5281/zenodo.3245427
7	2020	Appelhoff, Stefan; Sanderson, Matthew; Brooks, Teon L; van Vliet, Marijn; Quentin, Romain; Holdgraf, Chris; Chaumon, Maximilien; Mikulan, Ezequiel; Tavabi, Kambiz; Richard Höchenberger; Welke, Dominik; Brunner, Clemens; Rockhill, Alexander P; Larson, Eric; Herbst, Sophie K; Luke, Robert; Li, Adam; Gramfort, Alexandre; Jas, Mainak	MNE-BIDS: MNE-Python + BIDS = easy dataset interaction	http://doi.org/10.5281/zenodo.3891836

