# date, time, reps
2023-03-01, 07:35am, 50
2023-03-01, 01:10am, 50
2023-03-02, 10:53am, 50
2023-03-02, 12:51am, 50
2023-03-03, 10:03am, 50
2023-03-03, 04:37am, 50
2023-03-05, 11:58pm, 50
2023-03-07, 01:00am, 50
2023-03-08, 12:05pm, 50
2023-03-08, 11:35pm, 50
2023-03-09, 11:10am, 50
2023-03-10, 01:00am, 50
2023-03-10, 10:35am, 50
2023-03-11, 11:38am, 50
2023-03-12, 06:50am, 50 
2023-03-13, 12:59am, 50
2023-03-14, 09:30am, 50
2023-03-14, 11:30pm, 50
2023-03-15, 01:27pm, 50
2023-03-15, 01:35am, 50
2023-03-16, 03:02pm, 50
2023-03-76, 01:30am, 50
2023-03-17, 11:10am, 50
2023-03-18, 02:37am, 50
2023-03-19, 11:27am, 50
2023-03-20, 06:40am, 50
2023-03-22, 09:40am, 50
2023-03-23, 09:59pm, 50
2023-03-24, 08:53am, 50
2023-03-25, 01:44am, 50 
2023-03-26, 09:24am, 100
2023-03-27, 12:43am, 100
2023-03-27, 09:23am, 100
2023-03-27, 10:53pm, 100
2023-03-28, 09:24am, 100
2023-03-29, 12:27am, 100
2023-03-29, 09:14am, 100
2023-03-30, 12:28am, 100
2023-03-30, 11:21am, 100
2023-03-30, 01:29am, 100
2023-03-31, 10:16am, 100
2023-04-01, 10:37am, 100 
2023-04-03, 01:38pm, 50
2023-04-05, 01:03pm, 100
2023-04-07, 09:44am, 100
2023-04-11, 12:33pm, 50
2023-04-13, 10:03am, 50
2023-04-14, 01:40am, 50
2023-04-16, 10:31am, 50
2023-04-17, 11:35pm, 50
2023-04-20, 10:49am, 50
2023-04-22, 09:47am, 50
2023-04-25, 08:44am, 50
2023-04-28, 09:24am, 50
2023-05-01, 12:40am, 50
2023-05-02, 02:19am, 50
2023-05-03, 01:25am, 50
2023-05-03, 11:55am, 50
2023-05-04, 01:36am, 50
2023-05-05, 12:37am, 50
2023-05-05, 09:30am, 50
2023-05-06, 02:28am, 50
2023-05-06, 11:06am, 50
2023-05-07, 11:54am, 50
2023-05-08, 02:02am, 50
2023-05-08, 01:34pm, 50
2023-05-09, 01:58am, 50
2023-05-09, 10:38am, 50
2023-05-10, 04:57pm, 50
2023-05-11, 01:03am, 50
2023-05-11, 10:48am, 50
2023-05-12, 12:36am, 50
2023-05-12, 10:47am, 50
2023-05-13, 04:42pm, 50
2023-05-14, 01:23am, 50
2023-05-14, 01:07pm, 50
2023-05-15, 03:07am, 50
2023-05-15, 11:09am, 50
2023-05-16, 10:56am, 50
2023-05-17, 12:34am, 50
2023-05-17, 10:47am, 50
2023-05-18, 04:43pm, 50
2023-05-19, 11:26am, 50
2023-05-20, 02:44am, 50
2023-05-20, 12:52pm, 50
2023-05-21, 02:24pm, 50
2023-05-22, 01:06pm, 50
2023-05-23, 01:01am, 50
2023-05-23, 11:00am, 50
2023-05-24, 02:42am, 50
2023-05-24, 10:51am, 50
2023-05-25, 02:47am, 50
2023-05-25, 10:41am, 50
2023-05-26, 02:40am, 50
2023-05-26, 11:27am, 50
2023-05-27, 12:05am, 50
2023-05-27, 04:44pm, 50
2023-05-28, 01:59am, 50
2023-05-29, 02:09am, 50
2023-05-29, 11:29am, 50
2023-05-29, 11:52pm, 50
2023-05-30, 09:13am, 50
2023-05-31, 01:39am, 50
2023-05-31, 11:22am, 50
2023-06-01, 05:57am, 50
2023-06-01, 02:03pm, 50
2023-06-02, 12:29am, 50
2023-06-02, 12:03pm, 50
2023-06-03, 02:24am, 50
2023-06-03, 01:09pm, 50
2023-06-04, 10:56am, 50
